species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABLENNES HIANS,0.015199771554609755,0.03608673817872113,0.7019647403903692,0.05583487693482492,-0.2588868307535668,0.00879623065106723,0.08428742950592,0.9234695338825061,0.003617200361711527,-0.3285103995177179
ABUDEFDUF SAXATILIS,-0.08729771157167347,0.04889951252699143,0.1342843989452537,0.3892836708355283,0.2671404050026339,0.14385837651121636,0.22743957377537827,0.5548439416067075,0.07408643329158707,-0.11109628005009542
ACANTHOSTRACION POLYGONIA,-0.06141656669974996,0.03216170768644863,0.07320575347867422,0.17662146700318002,0.1281874356504259,0.4445311798009828,0.07717658959236434,2.310125226832406e-5,0.6611973822704166,0.6412678165216176
ACANTHOSTRACION QUADRICORNIS,-0.07382935360399011,0.018701322786080294,0.001458007011995645,0.5267910535511415,0.4929904145190802,0.039747582942815204,0.015676613990369175,0.023777727316195783,0.31468652897870514,0.26573556676289833
ACANTHURUS CHIRURGUS,-0.2563882759464689,0.19803308496318114,0.286074206373747,0.35845078787454926,0.1446010504993991,0.17362838557476837,0.1432528032187336,0.31224706966968657,0.32871569190769556,0.10495425587692742
ACHIRUS LINEATUS,-0.0537100443670963,0.017003971101068556,0.0033182543202047343,0.22687276389094002,0.2041337275347913,0.20510698084841283,0.07361394240084038,0.008658376502284158,0.18588612327367038,0.16194159748760195
AETOBATUS NARINARI,0.003148476363040339,0.04479092762100937,0.9462449789256768,8.228335880743104e-4,-0.1657066941472467,-0.02306048426947101,0.13687354000980817,0.871741494022438,0.004708654492571614,-0.1611732364253331
AHLIA EGMONTIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALBULA VULPES,0.9136351351349823,NA,NA,1,NA,4.624148648647856,NA,NA,1,NA
ALDROVANDIA ROSTRATA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALECTIS CILIARIS,-0.056815508328795436,0.015770154309977167,0.0013054345794951184,0.33298473911227433,0.3073303060012079,0.19183158202666953,0.07255061377524552,0.013700866099991924,0.2119134810398136,0.18160246107980627
ALOPIAS SUPERCILIOSUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALOSA ALABAMAE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALOSA CHRYSOCHLORIS,0.001444321242084219,0.013136369334703501,0.9141295696114428,9.290303115139913e-4,-0.07592258274144648,0.03337220558282978,0.06533289283680763,0.6180528740274636,0.01967580069122549,-0.05573375310175699
ALOSA PSEUDOHARENGUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALUTERUS HEUDELOTII,-0.03674238754430993,0.012505773414794447,0.005894734872083015,0.2024778321536182,0.17902129780519538,0.19070926067763438,0.059972694448043116,0.003136660438640816,0.2292344238130169,0.2065648480428115
ALUTERUS HEUDELOTTII,1.7303700312991699,NA,NA,1,NA,-1.8496651799689956,NA,NA,1,NA
ALUTERUS MONOCEROS,-0.02323666550243052,0.01962939510683009,0.24682219716468556,0.04933957777666447,0.014129932509133525,0.3619134219846402,0.05380755436273078,3.2005714040750805e-7,0.6262459964300484,0.6124032555570873
ALUTERUS SCHOEPFII,-0.061044738081888594,0.008841232865617962,4.381240409038607e-8,0.5697527403272165,0.5578014275585281,0.23143485115639054,0.05863050569663509,3.514638039702234e-4,0.3020758290314362,0.28268904650453175
ALUTERUS SCRIPTUS,0.033693096315099084,0.016643779010280996,0.05084548342887544,0.10756603027532,0.08131797234224125,0.29434898412346144,0.0539790191627496,4.429262478587167e-6,0.4665452512735409,0.4508554057227627
ANACANTHOBATIS LONGIROSTRIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
