species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
ACANTHOSTRACION POLYGONIA,-0.115465869539737,0.14396993810661632,0.44320543143648217,0.06670237193040958,-0.03699736452176716,0.07266184127319164,0.08712349891026058,0.4258568132579421,0.0717412167898168,-0.031398648011314645
ACANTHOSTRACION QUADRICORNIS,-0.1096231717766597,0.03356185774238245,0.008483196377961607,0.5161773470306291,0.467795081733692,0.05253259896970951,0.023519247842139972,0.04953909846592393,0.33284276316892086,0.26612703948581284
ALECTIS CILIARIS,-0.06469322353868513,0.14149916404640617,0.6712576961278767,0.0496624057309473,-0.18792199283631583,1.1294930847443527,0.2969046966061248,0.019034324209507174,0.7834577852544341,0.7293222315680427
ALUTERUS HEUDELOTII,-0.02896126473802804,0.0647623628760213,0.6653040968082007,0.021737156131354695,-0.08695871540960587,0.0277592145103314,0.052225963762804806,0.6079246410031571,0.030435172165423213,-0.07729425314952976
ALUTERUS MONOCEROS,0.1399420277595388,0.15091438582461178,0.38089891757192484,0.09705266744090865,-0.015815749128977652,0.36999400785587855,0.5371014050663847,0.5103846004206545,0.055996443887471804,-0.06200400062659428
ALUTERUS SCHOEPFII,-0.07670072807922515,0.03464684083075067,0.0488937825281648,0.3082132208545766,0.2453235136595382,0.14939115083200244,0.12613763132535846,0.26123400577986533,0.11309532709307908,0.0324676295560864
ALUTERUS SCRIPTUS,-0.012087639195077552,0.09373978108052552,0.9010249218806269,0.002369772558063723,-0.1401488313622128,0.026397998571635654,0.10399837605016321,0.8069204670323029,0.009120355217446119,-0.13243387975149012
ANCHOA HEPSETUS,-0.01846679592383839,0.03170435514281726,0.5719968619005986,0.02991990161194142,-0.058269198241518216,0.01694023949123636,0.10589264530836366,0.8758000911909621,0.002321162638339449,-0.08837691348544774
ANCHOA LYOLEPIS,-0.00467553571427839,0.06468725787612517,0.9451820175042944,0.0010437626040275066,-0.1987474848751669,0.20571725446429903,0.2967132135807291,0.5189898195913136,0.08770658480312006,-0.09475209823625574
ANCHOA MITCHILLI,0.02968885852837988,0.03257794401474988,0.38166517420207524,0.07019990979182207,-0.014327371136193978,0.12211813980094682,0.1262949988118321,0.35435856205521254,0.07833709746507146,-0.005450439129012885
ANCYLOPSETTA DILECTA,0.00902365073507247,0.01579179828260183,0.5803342791691675,0.03161896533072183,-0.06521913813620617,-0.016952705934511977,0.07731834370872753,0.8308592360803052,0.004784429234228303,-0.094737127842349
ANCYLOPSETTA QUADROCELLATA,-0.004882573411154576,0.027782478156190643,0.8636893774452964,0.0027999174103698656,-0.08785463555232376,0.2969674037761932,0.13770585400829155,0.05402921816083865,0.29715336050770547,0.23325821146295145
ANTENNARIUS STRIATUS,-0.22140680704684756,0.07080186014147892,0.010742778286303954,0.4944122052617357,0.4438534257879092,0.24375909356532596,0.23672581590505645,0.327407674819055,0.09586572113711775,0.005452293250829521
APOGON AFFINIS,-0.1654198109564498,0.06252968223462957,0.022770164397062236,0.3888366619039378,0.3332763584406595,0.6109661517512552,0.30218701141156473,0.06820336552775003,0.2709309823114187,0.204651980703366
