species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
ACANTHOSTRACION QUADRICORNIS,-0.12140147541331424,0.09080751841151934,0.23885117001605136,0.2633331067984943,0.11599972815819315,-0.42502351907477187,0.2751243133252667,0.18304276271459588,0.3230927151687399,0.1877112582024879
ACHIRUS LINEATUS,0.0030763467481464833,0.020959853757020003,0.8846476666563614,9.782420789297874e-4,-0.04443183782657334,-0.09194674553785949,0.0600243555448665,0.13982047945051954,0.09637878556406572,0.05530509399879602
ALECTIS CILIARIS,-0.07098329802585218,0.05064162884971331,0.25555628522473883,0.3957343052927528,0.1943124070570037,-0.2413070307942686,0.13907318841729122,0.18112922665983655,0.5008818166290149,0.3345090888386866
ALOSA CHRYSOCHLORIS,-0.02274442570004351,0.016666790374737436,0.20227928112156507,0.1569920542894174,0.0726912597183591,-0.018587454601948748,0.09317240785445544,0.8458734723064748,0.003964059940300761,-0.09563953406566927
ALUTERUS HEUDELOTII,-0.010825037042610052,0.027448300014489616,0.6970981997932428,0.00702013782334576,-0.03811531045741123,-0.06061839640867284,0.07342671641276391,0.41791475579570403,0.030048849857860244,-0.014039838784964287
ALUTERUS MONOCEROS,-0.021568182237255703,0.04980153166450262,0.6763942242611232,0.02290799923246914,-0.09922850086347235,-0.04822221257479187,0.1598599207248714,0.7706092120584751,0.011246390900937361,-0.11234781023644547
ALUTERUS SCHOEPFII,-0.03851586878458123,0.0215985059548579,0.08578989328540479,0.10536884725667667,0.07223436011803519,-0.1393328498058695,0.06910708383461872,0.05382943070743089,0.13085501461970775,0.09866445960562287
ALUTERUS SCRIPTUS,-0.01843735480831118,0.02488123822666805,0.46774500446966805,0.028088362990019197,-0.023064881063137754,-0.06208888118103322,0.04883216642886032,0.2189046114015662,0.07841472272455921,0.029910234446904438
ANCHOA CUBANA,-0.00522083124687033,0.018278368372539006,0.7937485107191149,0.02647466441435292,-0.29803378078086284,-0.13814546820230425,0.08426884644578467,0.19967290984149652,0.47252214353968164,0.29669619138624215
ANCHOA HEPSETUS,-6.516309770787275e-4,0.008612787958030565,0.9401341964538501,1.683309227458216e-4,-0.029238482873643834,-0.011421048661332037,0.023835447503082786,0.6348907440362481,0.0067075445132110615,-0.022506939471694354
ANCHOA LYOLEPIS,-1.2986413985892318e-4,0.010898496975826684,0.9905645525218532,4.302585033641508e-6,-0.030298597336632094,-0.005436980287519015,0.035648771677960156,0.8797092930601629,7.043790340355272e-4,-0.029577306449781515
ANCHOA MITCHILLI,-0.011930558936344031,0.006381965979259162,0.07046043024416833,0.09575965083759058,0.06835842813569948,-0.0396317941407354,0.022207036924263436,0.08351456159158605,0.08801930641983066,0.060383527826492256
ANCHOVIELLA PERFASCIATA,0.026530553097203674,0.021903803981475213,0.24146992711478182,0.07536205402308568,0.02399327924659045,0.0607249761425909,0.06850562219426938,0.3870794593854221,0.04182672157720428,-0.011405127224062284
ANCYLOPSETTA DILECTA,-0.0015696636281615816,0.003910570827844536,0.6905058987193504,0.0044554449120334655,-0.023198570507076743,-0.014285322197204105,0.012853353316866897,0.2737603839284952,0.033173643196317715,0.006317355507326594
ANCYLOPSETTA QUADROCELLATA,-0.006689147082080252,0.005084007084433739,0.19707010500855604,0.04844873802587712,0.020461936203108877,-0.06100740116857497,0.015376393757831078,3.553000390953366e-4,0.31647108717609523,0.296367295622451
ANTENNARIUS STRIATUS,0.013130028697835793,0.02104198969373447,0.5385194708151679,0.015964570424923608,-0.02503690580737139,-0.00810404261189208,0.05599796458100076,0.8861401761695649,8.719044187543853e-4,-0.04075843289713088
APOGON AFFINIS,-0.013366950278270001,0.019121212592700772,0.5021765255835404,0.05150240724071766,-0.053886214176980474,0.009404238842356413,0.058887356652783863,0.8766449723871067,0.002825736961302795,-0.10797140337633016
APOGON AUROLINEATUS,-0.01727411585340783,0.010409832366185007,0.10905049677393516,0.09576606400246546,0.060987835694867876,-0.049762229190817533,0.03850982618083226,0.20765700960071767,0.060346348347632923,0.024205823284080275
APOGON MACULATUS,-0.0033429576226477542,0.017854517267804106,0.8576487662875036,0.00580877018305932,-0.1598897681197642,0.0293347584716997,0.07345056015444902,0.7034404181251837,0.025895779233298343,-0.13645492422781857
APOGON PSEUDOMACULATUS,-0.010396524151540493,0.015279531422122598,0.5053995962259061,0.026511729706602854,-0.030752286193008738,-0.02462100596815311,0.0458738783427615,0.5984218854248322,0.016662280710589086,-0.04118111454172935
ARCHOSARGUS PROBATOCEPHALUS,-0.052981944638523744,0.029800958830030606,0.15005801593185758,0.44140222851453936,0.3017527856431742,-0.18653307032041275,0.05710039370895971,0.030883413056272277,0.7273662281293438,0.6592077851616798
ARIOMMA BONDI,0.021658466727707614,0.02764700411915054,0.4441742449326609,0.03484243974384609,-0.021931534388868856,0.08852186601252292,0.08132919578706159,0.2915918711506194,0.06514814261655202,0.010156856888113852
ARIOPSIS FELIS,-0.02103596190004627,0.004977795315147751,1.6159542990411169e-4,0.3378577769080663,0.3189394276768682,-0.08721358904199648,0.012972001189140162,8.722123084889816e-8,0.5636000405917967,0.5511314703229909
ASTROSCOPUS Y-GRAECUM,-0.018900722817171093,0.015499402879748542,0.23558714533378727,0.06331379359352898,0.020737147847780357,-0.1067473621061825,0.03634574020499753,0.007628037052382545,0.28165509065518174,0.24900304932132644
BAGRE MARINUS,-0.02797641130957874,0.0064937704541819415,1.2687980457644943e-4,0.3465336053362242,0.3278631369172593,-0.08849962074524591,0.017947166598831884,1.9750017586081736e-5,0.40993936752148447,0.3930804923078126
BAIRDIELLA CHRYSOURA,-0.0036711883166833654,0.016537534531428442,0.8257766672723469,0.0015871583620046287,-0.030619707497285598,-0.01966994819419065,0.032262230096416815,0.5465106885184833,0.011848934885846082,-0.020026905924287908
BALDWINELLA AUREORUBENS,-0.024363111354735813,0.02448808629261558,0.3366721877996095,0.06603275486459842,-6.791912165016178e-4,-0.06300872361583958,0.0664323405464137,0.35897881695333833,0.06037652055085004,-0.006739442266946227
BALISTES CAPRISCUS,0.007232011723508454,0.006895501685835567,0.3014581330366719,0.030470493731366812,0.0027696506951202515,0.0016847099640384447,0.020844897252771336,0.9360445300307019,1.8659572171098005e-4,-0.02837950154338298
BATHYANTHIAS MEXICANA,-0.028020528512859088,0.007447586591936094,7.304554838281634e-4,0.3205810882964681,0.29793379123968367,-0.10691657621859503,0.029121908705739937,9.340064013687507e-4,0.3100081542223666,0.2870084260297787
BELLATOR BRACHYCHIR,-0.09300838658983968,0.033088273451936705,0.04827187600539436,0.6639009564439599,0.5798761955549498,-0.22366930446423594,0.06915065098175235,0.03183874783760135,0.7234156224821576,0.654269528102697
BELLATOR EGRETTA,-0.029341013773295854,0.023309842844499266,0.24361303609951535,0.16531242644253175,0.060976479747848256,-0.13566177559245235,0.1126746379610405,0.2629966539988897,0.15340764610114593,0.04758360186378918
BELLATOR MILITARIS,-0.012528014755835901,0.006953165998331817,0.08020078786517218,0.08488070624419501,0.058734440708314906,-0.04270185069959375,0.03057842872676578,0.17136690949821826,0.05277729412662086,0.025713788244524416
BEMBROPS ANATIROSTRIS,0.0511865317206437,0.03608061464373562,0.2289895866955001,0.33473351943070956,0.16841689928838688,0.16136894259245224,0.12085656354007679,0.2527273787258203,0.3082919881723363,0.1353649852154204
BEMBROPS GOBIOIDES,0.07190252227188669,0.02553514320831735,0.030521266851177502,0.5692402048440567,0.4974469056513995,0.10211529122308746,0.07639514018804328,0.22978081840339895,0.2294547258957189,0.10103051354500536
BOLLMANNIA COMMUNIS,-0.0266822348537366,0.006007482931326017,8.554185095850439e-5,0.36046101050534857,0.34218846794835855,-0.1304482188090238,0.02451804649191731,6.0780881700660935e-6,0.44714465674380305,0.4313487897936261
BOTHUS ROBINSI,0.0218963597763251,0.016482732123860536,0.19828885910709368,0.07752153790344037,0.03359399208931846,0.11461618686191805,0.06934080154804113,0.11321653429151307,0.11512668515449669,0.07298986063804402
BREGMACEROS ATLANTICUS,-0.029580272994367565,0.007818078937839382,5.810283188848362e-4,0.29028291189390637,0.27000528080516084,-0.10631453518492363,0.022175149141238217,2.981614408702099e-5,0.3963998521555284,0.3791541336456864
BREVOORTIA PATRONUS,-0.010489868183158871,0.006829076990363408,0.1332671267079273,0.06150966310032174,0.03544048707533087,-0.03604105260000204,0.018715429676166302,0.06206342763460673,0.09339252607316774,0.0682089851307558
BROTULA BARBATA,-0.02401145088443477,0.005505800140192931,1.0852965780352728e-4,0.3520841532528822,0.33357227191725036,-0.0824355652807042,0.021924206825191812,6.212551803894835e-4,0.2877172224646801,0.26736628596367107
CALAMUS BAJONADO,0.03631928280371346,0.0337644842490091,0.3608828430951701,0.278335395091381,0.03778052678850796,0.15028199331683248,0.11907125624415121,0.2961035204231266,0.346823918542129,0.1290985580561721
CALAMUS CALAMUS,-0.05962999711207519,0.04177257830608308,0.20334826814902274,0.2535207463905926,0.12910753745569137,-0.019370739065716715,0.1485145330888721,0.9004893864209156,0.0028273111016996312,-0.16336813704801711
CALAMUS LEUCOSTEUS,0.006246927726136454,0.013326133973262811,0.6432941502554295,0.00871332418734787,-0.03093814284515828,0.016811848486238585,0.04027417967347559,0.6799235538691457,0.006921830411542434,-0.032801296371995914
CARANX BARTHOLOMAEI,-0.05320934622702177,0.037229060981769785,0.19079785657179865,0.20340412175002412,0.10382963696877712,-0.21223840156426657,0.09415246123920516,0.05421090239903465,0.3884453151673925,0.3120009795633166
CARANX CRYSOS,0.0029912465112105716,0.00938935327088464,0.751837560057914,0.002735531203506246,-0.024217562547750315,0.002364346708151397,0.026237634132981368,0.928683633568629,2.1941986968257923e-4,-0.026801676890596315
CARANX HIPPOS,-0.00570868637740351,0.011364916208955887,0.6206775368411588,0.011872267848459666,-0.03518143368256621,-0.040519553711668356,0.04271989865163284,0.353666502238532,0.041080138443112556,-0.004582712107215503
CARCHARHINUS ACRONOTUS,-0.01093742444655342,0.011918187070328887,0.36689684099980424,0.030248674862265502,-0.005668040883576531,-0.02199062662231455,0.046627009146152636,0.6409810312660358,0.008170961177518093,-0.02856344766775898
CARCHARHINUS BREVIPINNA,0.012511453802849758,0.04905883540657976,0.8151842571897485,0.021219977848860164,-0.305040029534853,0.09123002188551843,0.12187008581316665,0.5084530615127718,0.1573929141556781,-0.12347611445909568
CARCHARHINUS FALCIFORMIS,0.016731777748619458,0.01797385909524985,0.42057492864443896,0.22411767665448498,-0.034509764460686654,0.13025709333930924,0.05489451728808347,0.09824940497681303,0.6523944572891212,0.5365259430521616
CARCHARHINUS LIMBATUS,-0.010017768317488816,0.012766868111643025,0.4428527505530948,0.03307453270985112,-0.020643548806268175,-0.03064209768189761,0.053658543180793994,0.575022130991333,0.01779463270862859,-0.03677233214089215
CAULOLATILUS CHRYSOPS,-0.05189597395008578,0.025116982222855036,0.13072057936986578,0.5872919805306137,0.449722640707485,-0.1880121407018156,0.13743202705789817,0.2647595581429405,0.38417654989816924,0.17890206653089247
