"species","term","estimate","std.error","statistic","p.value","conf.low","conf.high","climate_zone"
"ACANTHOSTRACION POLYGONIA","(Intercept)",142.355420874559,262.407430806522,0.542497674082716,0.599356501365695,-442.324770755352,727.03561250447,"tropical"
"ACANTHOSTRACION POLYGONIA","year",-0.0572094365777038,0.130183721353863,-0.439451538047513,0.669678787919376,-0.3472768440224,0.232857970866993,"tropical"
"ACANTHOSTRACION QUADRICORNIS","(Intercept)",85.1001600164089,54.2609634428529,1.56834959456692,0.147870696189416,-35.8008007768185,206.001120809636,"subtropical"
"ACANTHOSTRACION QUADRICORNIS","year",-0.0286936274096314,0.0269195659723708,-1.06590230463156,0.31152616986485,-0.0886741582312785,0.0312869034120157,"subtropical"
"ACHIRUS LINEATUS","(Intercept)",-395.179599646649,380.849380278609,-1.03762699930759,0.339440057650909,-1327.08446175159,536.725262458298,"tropical"
"ACHIRUS LINEATUS","year",0.209920316769243,0.189124286046881,1.10995959935683,0.309509470801999,-0.252850140098201,0.672690773636687,"tropical"
"ALUTERUS HEUDELOTII","(Intercept)",-17.2546654089695,91.4118790681499,-0.18875736485086,0.854058748642573,-220.933024693785,186.423693875846,"tropical"
"ALUTERUS HEUDELOTII","year",0.0224391967296215,0.0453506158589517,0.494793649537446,0.631435678628367,-0.0786082724272136,0.123486665886457,"tropical"
"ALUTERUS MONOCEROS","(Intercept)",38.3237266053015,301.427467342887,0.127140790927678,0.902404147302049,-674.438972769881,751.086425980484,"subtropical"
"ALUTERUS MONOCEROS","year",-0.00537250048163436,0.149500836572084,-0.0359362569790299,0.972336501137619,-0.358885804273393,0.348140803310125,"subtropical"
"ALUTERUS SCHOEPFII","(Intercept)",96.2295239882056,60.462553224753,1.5915557457605,0.142568827870469,-38.4894399421544,230.948487918566,"subtropical"
"ALUTERUS SCHOEPFII","year",-0.0340954183372224,0.0299962548970572,-1.13665584101192,0.282186578410644,-0.100931239287439,0.0327404026129944,"subtropical"
"ALUTERUS SCRIPTUS","(Intercept)",288.583092990392,140.696525231052,2.05110319900567,0.0794009987462653,-44.1113226857893,621.277508666573,"subtropical"
"ALUTERUS SCRIPTUS","year",-0.128655261963765,0.0697936877439413,-1.84336529738585,0.107811462288809,-0.293691108611183,0.0363805846836525,"subtropical"
"ANCHOA HEPSETUS","(Intercept)",40.1844984576178,49.1781268688022,0.817121371149867,0.43289518329512,-69.3911966866705,149.760193601906,"subtropical"
"ANCHOA HEPSETUS","year",-0.00571677768873058,0.0243979049881157,-0.234314286063301,0.81946866628554,-0.0600786976998208,0.0486451423223596,"subtropical"
"ANCHOA LYOLEPIS","(Intercept)",-157.814108561939,118.379903464191,-1.33311570582313,0.215252846400296,-425.608055114818,109.97983799094,"subtropical"
"ANCHOA LYOLEPIS","year",0.092746002806191,0.0587439432630197,1.57881813263592,0.14883429217105,-0.0401420292172603,0.225634034829642,"subtropical"
"ANCHOA MITCHILLI","(Intercept)",-58.0165340418716,65.4681570481534,-0.886179429171941,0.396331461509709,-203.888678328801,87.8556102450581,"subtropical"
"ANCHOA MITCHILLI","year",0.0430757897102311,0.0324795997145059,1.32624139733449,0.214252026180575,-0.0292932683106218,0.115444847731084,"subtropical"
"ANCYLOPSETTA DILECTA","(Intercept)",-37.46259226328,23.6430264853059,-1.58450916960918,0.144160684069605,-90.1425381537306,15.2173536271706,"subtropical"
"ANCYLOPSETTA DILECTA","year",0.0325003052205753,0.0117296113241339,2.77079131801283,0.0197604486922854,0.00636510251057433,0.0586355079305762,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","(Intercept)",42.0956718355446,48.1735802864442,0.87383315886509,0.402706336953938,-65.2417540399618,149.433097711051,"subtropical"
"ANCYLOPSETTA QUADROCELLATA","year",-0.00676303423101595,0.023899536432154,-0.282977632232109,0.782965237206267,-0.0600145198999596,0.0464884514379277,"subtropical"
"ANISOTREMUS VIRGINICUS","(Intercept)",-33.8776469553827,50.260711791066,-0.674038344228236,0.521915202377561,-152.725344958853,84.9700510480874,"subtropical"
"ANISOTREMUS VIRGINICUS","year",0.0294712697305023,0.0249404913193738,1.18166355879321,0.275922499714979,-0.0295036208899283,0.088446160350933,"subtropical"
