species,latitude_year_coef,latitude_year_SE,latitude_pvalue,latitude_rsquared,latitude_rsquared_adj,longitude_year_coef,longitude_year_SE,longitude_pvalue,longitude_rsquared,longitude_rsquared_adj
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABUDEFDUF SAXATILIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACANTHOSTRACION POLYGONIA,-0.05720943657770381,0.13018372135386272,0.6696787879193762,0.018945886905464983,-0.07915952440398866,0.04676867403270576,0.06389897185985226,0.4810208712907994,0.05084625144220458,-0.04406912341357505
ACANTHOSTRACION QUADRICORNIS,-0.028693627409631377,0.026919565972370822,0.3115261698648499,0.10202340623323469,0.012225746856558084,-0.01164204497675885,0.018561040297029572,0.5445626510867358,0.03785258435521777,-0.05836215720926052
ACANTHURUS CHIRURGUS,-0.3500016583747653,NA,NA,1,NA,0.9227960199004409,NA,NA,1,NA
ACHIRUS LINEATUS,0.20992031676924305,0.18912428604688108,0.3095094708019988,0.1703551653024195,0.03208102618615605,-0.27351938580863316,0.9392121246840088,0.7806867553137978,0.013938042924380098,-0.15040561658822327
ALOSA CHRYSOCHLORIS,-0.13677777777777378,NA,NA,1,NA,-0.0836666666666678,NA,NA,1,NA
ALUTERUS HEUDELOTII,0.022439196729621483,0.0453506158589517,0.6314356786283667,0.02389702674770866,-0.07371327057752053,-0.008404067055790904,0.04233968348348498,0.8466378305757981,0.003924425548554585,-0.09568313189659006
ALUTERUS MONOCEROS,-0.00537250048163436,0.14950083657208382,0.9723365011376193,1.8445376562615644e-4,-0.14264633855357012,0.010080896764712998,0.18220708220379855,0.9574242928221747,4.3709910400372115e-4,-0.14235760102399575
ALUTERUS SCHOEPFII,-0.034095418337222363,0.029996254897057217,0.2821865784106437,0.1144162278977885,0.025857850687567296,-0.004367555385647863,0.015911999520091705,0.7893012509083126,0.0074776925448063365,-0.09177453820071313
ALUTERUS SCRIPTUS,-0.12865526196376514,0.06979368774394128,0.10781146228880871,0.326793330552971,0.2306209492033955,0.05685775289239965,0.09561820785080334,0.5708007090204882,0.04808380843344127,-0.08790421893320999
ANARCHIAS SIMILIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANCHOA CUBANA,0.049000000000001556,NA,NA,1,NA,0.49333333333329454,NA,NA,1,NA
ANCHOA HEPSETUS,-0.005716777688730582,0.024397904988115667,0.8194686662855405,0.0054603394627541985,-0.09399362659097044,0.08905256576918538,0.09686363365414193,0.3795495386055252,0.07793505917894361,-0.014271434903162072
ANCHOA LYOLEPIS,0.09274600280619102,0.058743943263019675,0.14883429217105026,0.2168919330811673,0.12987992564574136,0.5332452060430943,0.20107760485155501,0.026392258266698533,0.4386497711980263,0.3762775235533625
ANCHOA MITCHILLI,0.043075789710231065,0.03247959971450588,0.21425202618057457,0.14958149267375948,0.06453964194113537,0.3139060698710247,0.1105851011747058,0.01759078982924226,0.44621682674743685,0.39083850942218057
ANCHOVIELLA PERFASCIATA,0.004999999999998392,NA,NA,1,NA,-1.4563749999997537,NA,NA,1,NA
ANCYLOPSETTA DILECTA,0.03250030522057526,0.01172961132413391,0.019760448692285385,0.4343022547284303,0.37773248020127326,0.07388556743326004,0.05696356990456934,0.22373456315433615,0.14401024675581012,0.05841127143139102
ANCYLOPSETTA QUADROCELLATA,-0.006763034231015946,0.02389953643215395,0.7829652372062668,0.007944021219678197,-0.091261576658354,0.2267013186509169,0.1251935373099568,0.10027023880241205,0.24693246725757736,0.17162571398333504
ANISOTREMUS VIRGINICUS,0.02947126973050234,0.024940491319373828,0.2759224997149793,0.16630229771422678,0.047202625959116395,-0.02031490165845213,0.014824254954328889,0.21289507648330294,0.21152956290833808,0.0988909290381006
ANTENNARIUS MULTIOCELLATUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANTENNARIUS STRIATUS,-0.1639618283434999,0.08097076880120864,0.0703959018043443,0.2908015690248362,0.2198817259273198,-0.029685120412593715,0.26471447148889204,0.9129313618224262,0.0012559618894495146,-0.09861844192160563
ANTHIAS TENUIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APLATOPHIS CHAULIODUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOGON AFFINIS,0.11846958702070574,0.05684207545404735,0.06374809730054803,0.3028366549842276,0.2331203204826503,-0.14838405605864402,0.1424460703849145,0.3220866418659567,0.09788892215075502,0.007677814365830482
APOGON AUROLINEATUS,0.005703121048815996,0.09447998357228682,0.9530556469771558,3.6423975473319145e-4,-0.09959933626979356,-0.19204492147351845,0.29799344924008137,0.5337803154675331,0.03987670156742532,-0.056135628275832294
APOGON MACULATUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOGON PHENAX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APOGON PSEUDOMACULATUS,-0.0013989157058689578,0.07869834943695003,0.986167478653124,3.159643774950229e-5,-0.0999652439184755,0.008421440941903016,0.05266134731389105,0.8761305470185892,0.00255081910167999,-0.09719409898815212
APOGON QUADRISQUAMATUS,-0.044876904724370295,0.05577282710326151,0.43973967752258925,0.06080722891857874,-0.03311204818956348,0.017835636813787727,0.030125087930682415,0.5669595506890756,0.033865552190281326,-0.06274789259069058
ARCHOSARGUS PROBATOCEPHALUS,-0.08379672627189952,0.26859578734106776,0.7656121845074915,0.015963049725434716,-0.14804310865365955,0.07589551700482988,0.48279191053989945,0.880242837191604,0.004101814057664112,-0.16188121693272528
ARIOMMA BONDI,0.37676217402733453,0.13151664105183267,0.10331055850806012,0.8040519544831273,0.7060779317246909,1.3553118349106104,0.7824704129727504,0.2253957124689155,0.6000118022615396,0.40001770339230935
ARIOMMA MELANUM,0.005249999999999909,NA,NA,1,NA,0.2629999999999969,NA,NA,1,NA
ARIOMMA REGULUS,0.05254570896782584,0.11480776289524806,0.6580279926935773,0.022745586218583972,-0.08583823753490671,-0.03197901252520965,0.057587732336427645,0.5922156091684394,0.033128103252313516,-0.07430210749742949
ARIOPSIS FELIS,-0.037876533403718264,0.03438861939817421,0.2965150180977003,0.10818915220519897,0.01900806742571881,-0.039883409983699825,0.1147397972085112,0.7353466996826208,0.011938245320593432,-0.0868679301473474
ARIOSOMA BALEARICUM,-0.09646658526251793,0.07754879264435896,0.2535570891100015,0.18103789673597848,0.06404331055540402,0.087813412745068,0.07581990402897006,0.28477221957945215,0.16081138551117424,0.04092729772705628
ARIOSOMA SELENOPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
